codigo,descricao,estoque,unidade,custo,venda,total_custo,total_venda,lucro_percentual
007940,2082-0 SIL TRAS GOL 1.0-8V FLEX - 09 ...,3.0,UN1,114.7,183.52,344.1,550.56,60.0
008003,2006-0 SIL TRAS GOL SPECIAL 1.0-8V - 01 A,0.0,UN1,103.5,150.075,0.0,0.0,45.0
007943,3024-0 TUBO INT FIESTA HATCH/SEDAN 1.0,0.0,UN1,44.1,63.945,0.0,0.0,45.0
008002,2003-0 SIL TRAS GOL/PARATI,3.0,UN1,117.48,187.968,352.44,563.904,60.0
007936,2005-0 SIL TRAS GOL 1.0 8V - POWER /,7.0,UN1,110.08,176.128,770.56,1232.896,60.0
008004,2016-0 SIL INT GOL/PARATI,1.0,UN1,80.96,134.04,80.96,134.04,65.563
008005,2017-0 SIL INT GOL SPECIAL/GIII/GIV 1.0-8V-,1.0,UN1,80.15,136.255,80.15,136.255,70.0
007938,2029-0 SIL INT KOMBI 1.6 - 98 A 06,1.0,UN1,113.44,192.848,113.44,192.848,70.0
007945,4004-0 SIL INT CORSA,8.0,UN1,75.67,121.072,605.36,968.576,60.0
004340,BRONZINA MANCAL - SANTANA SBC 326,1.0,JG,44.15,75.055,44.15,75.055,70.0
009350,KIT AMORTECEDOR DIANTEIRO COM,0.0,KI,68.57,109.712,0.0,0.0,60.0
007937,2020-0 SIL INT GOL 1.0 8V - POWER / TREND,3.0,UN1,81.4,130.24,244.2,390.72,60.0
008006,2074-0 SIL TRAS FOX/CROSSFOX 1.6,1.0,UN1,136.16,217.856,136.16,217.856,60.0
008007,2075-0 SIL INT FOX/CROSSFOX/SPACEFOX,2.0,UN1,83.66,133.856,167.32,267.712,60.0
008008,2094-0 SIL TRAS VERONA 1.8 - 90 A 93 E,0.0,UN1,84.67,143.939,0.0,0.0,70.0
002833,2833 PIVO DE SUSPENSAO,7.0,UN1,28.3,45.28,198.1,316.96,60.0
007941,3016-0 SIL TRAS FIESTA HATCH/ECOSPORT,2.0,UN1,116.55,186.48,233.1,372.96,60.0
007942,3019-0 SIL TRAS FIESTA HATCH 1.0 - 10/02 A,1.0,UN1,121.18,193.888,121.18,193.888,60.0
007944,3050-0 SIL TRAS ECOSPORT 1.6 ZETEC,1.0,UN1,118.4,189.44,118.4,189.44,60.0
007946,4010-0 SIL TRAS CORSA HATCH 1.0/1.4/1.6 -,3.0,UN1,73.6,117.76,220.8,353.28,60.0
007947,4011-0 SIL TRAS CORSA WAGON - 97 A 01 E,2.0,UN1,76.36,122.176,152.72,244.352,60.0
007948,4078-0 SIL TRAS PICK UP S10 2.2/2.4 - 00 A,1.0,UN1,209.05,334.48,209.05,334.48,60.0
009409,411 REG.FREIO L ESQ.MAREA BRAVA 411,0.0,UN1,61.25,98.0,0.0,0.0,60.0
007949,5001-0 SIL TRAS UNO (TODOS),0.0,UN1,73.14,120.681,0.0,0.0,65.0
007950,5002-0 SIL INT,5.0,UN1,64.75,103.6,323.75,518.0,60.0
007951,5003-0 SIL TRAS PALIO 1.0/1.3 /1.4 FIRE - 96,6.0,UN1,83.25,133.2,499.5,799.2,60.0
007952,5005-0 SIL TRAS STRADA 1.3/1.4/1.5/1.6 - 99,3.0,UN1,152.625,244.2,457.875,732.6,60.0
007953,5010-0 SIL TRAS UNO MILLE FIRE - 02 A 06 E,7.0,UN1,90.65,145.04,634.55,1015.28,60.0
